laus_code,state_fips,county_fips,county,state,year,labor_force,num_employed,num_unemployed,unemp_rate
CN1804900000000,18,49,Fulton County,IN,2016,9814,9350,464,4.7
CN1805100000000,18,51,Gibson County,IN,2016,19196,18495,701,3.7
CN1805300000000,18,53,Grant County,IN,2016,32112,30513,1599,5
CN1805500000000,18,55,Greene County,IN,2016,13721,12818,903,6.6
CN1805700000000,18,57,Hamilton County,IN,2016,172142,166647,5495,3.2
CN1805900000000,18,59,Hancock County,IN,2016,38359,36903,1456,3.8
CN1806100000000,18,61,Harrison County,IN,2016,19992,19155,837,4.2
CN1806300000000,18,63,Hendricks County,IN,2016,85157,82192,2965,3.5
CN1806500000000,18,65,Henry County,IN,2016,22147,21118,1029,4.6
CN1806700000000,18,67,Howard County,IN,2016,38176,36396,1780,4.7
CN1806900000000,18,69,Huntington County,IN,2016,18739,17978,761,4.1
CN1807100000000,18,71,Jackson County,IN,2016,22209,21393,816,3.7
CN1807300000000,18,73,Jasper County,IN,2016,16540,15658,882,5.3
CN1807500000000,18,75,Jay County,IN,2016,9930,9478,452,4.6
CN1807700000000,18,77,Jefferson County,IN,2016,15282,14564,718,4.7
CN1807900000000,18,79,Jennings County,IN,2016,13210,12574,636,4.8
CN1808100000000,18,81,Johnson County,IN,2016,79639,76742,2897,3.6
CN1808300000000,18,83,Knox County,IN,2016,19076,18241,835,4.4
CN1808500000000,18,85,Kosciusko County,IN,2016,41310,39766,1544,3.7
CN1808700000000,18,87,LaGrange County,IN,2016,19279,18620,659,3.4
CN1808900000000,18,89,Lake County,IN,2016,232458,217762,14696,6.3
CN1809100000000,18,91,LaPorte County,IN,2016,48521,45646,2875,5.9
CN1809300000000,18,93,Lawrence County,IN,2016,20570,19399,1171,5.7
CN1809500000000,18,95,Madison County,IN,2016,59596,56621,2975,5
CN1809700000000,18,97,Marion County,IN,2016,483993,462513,21480,4.4
CN1809900000000,18,99,Marshall County,IN,2016,24337,23421,916,3.8
CN1810100000000,18,101,Martin County,IN,2016,5155,4941,214,4.2
CN1810300000000,18,103,Miami County,IN,2016,16033,15273,760,4.7
CN1810500000000,18,105,Monroe County,IN,2016,68167,65012,3155,4.6
CN1810700000000,18,107,Montgomery County,IN,2016,19063,18326,737,3.9
CN1810900000000,18,109,Morgan County,IN,2016,36279,34751,1528,4.2
CN1811100000000,18,111,Newton County,IN,2016,7059,6664,395,5.6
CN1811300000000,18,113,Noble County,IN,2016,23363,22414,949,4.1
CN1811500000000,18,115,Ohio County,IN,2016,3235,3078,157,4.9
CN1811700000000,18,117,Orange County,IN,2016,8863,8410,453,5.1
CN1811900000000,18,119,Owen County,IN,2016,9343,8828,515,5.5
CN1812100000000,18,121,Parke County,IN,2016,7241,6860,381,5.3
CN1812300000000,18,123,Perry County,IN,2016,9475,9037,438,4.6
CN1812500000000,18,125,Pike County,IN,2016,6299,6022,277,4.4
CN1812700000000,18,127,Porter County,IN,2016,85964,81547,4417,5.1
CN1812900000000,18,129,Posey County,IN,2016,13460,12926,534,4
CN1813100000000,18,131,Pulaski County,IN,2016,6351,6062,289,4.6
CN1813300000000,18,133,Putnam County,IN,2016,16788,16039,749,4.5
CN1813500000000,18,135,Randolph County,IN,2016,12608,12038,570,4.5
CN1813700000000,18,137,Ripley County,IN,2016,13995,13353,642,4.6
CN1813900000000,18,139,Rush County,IN,2016,8930,8591,339,3.8
CN1814100000000,18,141,St. Joseph County,IN,2016,133809,127748,6061,4.5
CN1814300000000,18,143,Scott County,IN,2016,10568,10057,511,4.8
CN1814500000000,18,145,Shelby County,IN,2016,23208,22287,921,4
CN1814700000000,18,147,Spencer County,IN,2016,10987,10535,452,4.1
CN1814900000000,18,149,Starke County,IN,2016,10881,10291,590,5.4
CN1815100000000,18,151,Steuben County,IN,2016,19970,19226,744,3.7
CN1815300000000,18,153,Sullivan County,IN,2016,8713,8199,514,5.9
CN1815500000000,18,155,Switzerland County,IN,2016,4984,4741,243,4.9
CN1815700000000,18,157,Tippecanoe County,IN,2016,95085,91285,3800,4
CN1815900000000,18,159,Tipton County,IN,2016,8514,8183,331,3.9
CN1816100000000,18,161,Union County,IN,2016,3630,3483,147,4
CN1816300000000,18,163,Vanderburgh County,IN,2016,93215,89387,3828,4.1
CN1816500000000,18,165,Vermillion County,IN,2016,7258,6781,477,6.6
CN1816700000000,18,167,Vigo County,IN,2016,49137,46474,2663,5.4
CN1816900000000,18,169,Wabash County,IN,2016,15484,14819,665,4.3
CN1817100000000,18,171,Warren County,IN,2016,4109,3909,200,4.9
CN1817300000000,18,173,Warrick County,IN,2016,32150,30843,1307,4.1
CN1817500000000,18,175,Washington County,IN,2016,13861,13232,629,4.5
CN1817700000000,18,177,Wayne County,IN,2016,30909,29425,1484,4.8
CN1817900000000,18,179,Wells County,IN,2016,14233,13725,508,3.6
CN1818100000000,18,181,White County,IN,2016,13659,13113,546,4
CN1818300000000,18,183,Whitley County,IN,2016,17285,16612,673,3.9
CN1900100000000,19,1,Adair County,IA,2016,4242,4113,129,3
CN1900300000000,19,3,Adams County,IA,2016,2258,2198,60,2.7
CN1900500000000,19,5,Allamakee County,IA,2016,7717,7329,388,5
CN1900700000000,19,7,Appanoose County,IA,2016,6204,5906,298,4.8
CN1900900000000,19,9,Audubon County,IA,2016,3319,3209,110,3.3
CN1901100000000,19,11,Benton County,IA,2016,13695,13196,499,3.6
CN1901300000000,19,13,Black Hawk County,IA,2016,69678,66398,3280,4.7
CN1901500000000,19,15,Boone County,IA,2016,15264,14832,432,2.8
CN1901700000000,19,17,Bremer County,IA,2016,13890,13382,508,3.7
CN1901900000000,19,19,Buchanan County,IA,2016,11271,10800,471,4.2
CN1902100000000,19,21,Buena Vista County,IA,2016,11611,11195,416,3.6
CN1902300000000,19,23,Butler County,IA,2016,8102,7745,357,4.4
CN1902500000000,19,25,Calhoun County,IA,2016,4518,4343,175,3.9
CN1902700000000,19,27,Carroll County,IA,2016,11359,11062,297,2.6
CN1902900000000,19,29,Cass County,IA,2016,7334,7089,245,3.3
CN1903100000000,19,31,Cedar County,IA,2016,10918,10550,368,3.4
CN1903300000000,19,33,Cerro Gordo County,IA,2016,23150,22304,846,3.7
CN1903500000000,19,35,Cherokee County,IA,2016,6351,6117,234,3.7
CN1903700000000,19,37,Chickasaw County,IA,2016,6442,6154,288,4.5
CN1903900000000,19,39,Clarke County,IA,2016,4855,4688,167,3.4
CN1904100000000,19,41,Clay County,IA,2016,8749,8404,345,3.9
CN1904300000000,19,43,Clayton County,IA,2016,10391,9943,448,4.3
CN1904500000000,19,45,Clinton County,IA,2016,23914,22712,1202,5
CN1904700000000,19,47,Crawford County,IA,2016,8484,8012,472,5.6
CN1904900000000,19,49,Dallas County,IA,2016,44232,43037,1195,2.7
CN1905100000000,19,51,Davis County,IA,2016,4306,4119,187,4.3
CN1905300000000,19,53,Decatur County,IA,2016,4448,4302,146,3.3
CN1905500000000,19,55,Delaware County,IA,2016,10795,10414,381,3.5
CN1905700000000,19,57,Des Moines County,IA,2016,20222,19213,1009,5
CN1905900000000,19,59,Dickinson County,IA,2016,10359,9908,451,4.4
CN1906100000000,19,61,Dubuque County,IA,2016,55049,53058,1991,3.6
CN1906300000000,19,63,Emmet County,IA,2016,5611,5367,244,4.3
CN1906500000000,19,65,Fayette County,IA,2016,10767,10281,486,4.5
CN1906700000000,19,67,Floyd County,IA,2016,8724,8399,325,3.7
CN1906900000000,19,69,Franklin County,IA,2016,5985,5773,212,3.5
CN1907100000000,19,71,Fremont County,IA,2016,4018,3884,134,3.3
CN1907300000000,19,73,Greene County,IA,2016,5704,5523,181,3.2
CN1907500000000,19,75,Grundy County,IA,2016,6713,6478,235,3.5
CN1907700000000,19,77,Guthrie County,IA,2016,5739,5532,207,3.6
CN1907900000000,19,79,Hamilton County,IA,2016,7172,6896,276,3.8
CN1908100000000,19,81,Hancock County,IA,2016,6460,6283,177,2.7
CN1908300000000,19,83,Hardin County,IA,2016,8621,8279,342,4
CN1908500000000,19,85,Harrison County,IA,2016,7602,7344,258,3.4
CN1908700000000,19,87,Henry County,IA,2016,9614,9266,348,3.6
CN1908900000000,19,89,Howard County,IA,2016,5363,5167,196,3.7
CN1909100000000,19,91,Humboldt County,IA,2016,5437,5277,160,2.9
CN1909300000000,19,93,Ida County,IA,2016,4040,3935,105,2.6
CN1909500000000,19,95,Iowa County,IA,2016,10691,10355,336,3.1
CN1909700000000,19,97,Jackson County,IA,2016,11173,10700,473,4.2
CN1909900000000,19,99,Jasper County,IA,2016,19302,18604,698,3.6
CN1910100000000,19,101,Jefferson County,IA,2016,9182,8843,339,3.7
CN1910300000000,19,103,Johnson County,IA,2016,84510,82301,2209,2.6
CN1910500000000,19,105,Jones County,IA,2016,10795,10328,467,4.3
CN1910700000000,19,107,Keokuk County,IA,2016,5349,5116,233,4.4
CN1910900000000,19,109,Kossuth County,IA,2016,8909,8670,239,2.7
CN1911100000000,19,111,Lee County,IA,2016,17483,16404,1079,6.2
CN1911300000000,19,113,Linn County,IA,2016,118969,114542,4427,3.7
CN1911500000000,19,115,Louisa County,IA,2016,6153,5908,245,4
CN1911700000000,19,117,Lucas County,IA,2016,4387,4245,142,3.2
CN1911900000000,19,119,Lyon County,IA,2016,7111,6964,147,2.1
CN1912100000000,19,121,Madison County,IA,2016,8343,8045,298,3.6
CN1912300000000,19,123,Mahaska County,IA,2016,11917,11468,449,3.8
CN1912500000000,19,125,Marion County,IA,2016,17559,17020,539,3.1
CN1912700000000,19,127,Marshall County,IA,2016,19314,18362,952,4.9
CN1912900000000,19,129,Mills County,IA,2016,7437,7164,273,3.7
CN1913100000000,19,131,Mitchell County,IA,2016,5924,5765,159,2.7
CN1913300000000,19,133,Monona County,IA,2016,4766,4568,198,4.2
CN1913500000000,19,135,Monroe County,IA,2016,3970,3784,186,4.7
CN1913700000000,19,137,Montgomery County,IA,2016,5131,4946,185,3.6
CN1913900000000,19,139,Muscatine County,IA,2016,22595,21722,873,3.9
CN1914100000000,19,141,O'Brien County,IA,2016,8424,8188,236,2.8
CN1914300000000,19,143,Osceola County,IA,2016,3674,3574,100,2.7
CN1914500000000,19,145,Page County,IA,2016,6512,6180,332,5.1
CN1914700000000,19,147,Palo Alto County,IA,2016,5007,4849,158,3.2
CN1914900000000,19,149,Plymouth County,IA,2016,14847,14456,391,2.6
CN1915100000000,19,151,Pocahontas County,IA,2016,4384,4258,126,2.9
CN1915300000000,19,153,Polk County,IA,2016,258529,249472,9057,3.5
CN1915500000000,19,155,Pottawattamie County,IA,2016,48943,47275,1668,3.4
CN1915700000000,19,157,Poweshiek County,IA,2016,10433,10067,366,3.5
CN1915900000000,19,159,Ringgold County,IA,2016,2622,2529,93,3.5
CN1916100000000,19,161,Sac County,IA,2016,5558,5388,170,3.1
CN1916300000000,19,163,Scott County,IA,2016,86289,82290,3999,4.6
CN1916500000000,19,165,Shelby County,IA,2016,6845,6639,206,3
CN1916700000000,19,167,Sioux County,IA,2016,20808,20322,486,2.3
CN1916900000000,19,169,Story County,IA,2016,57150,55802,1348,2.4
CN1917100000000,19,171,Tama County,IA,2016,9851,9434,417,4.2
CN1917300000000,19,173,Taylor County,IA,2016,3246,3149,97,3
CN1917500000000,19,175,Union County,IA,2016,6571,6319,252,3.8
CN1917700000000,19,177,Van Buren County,IA,2016,3896,3751,145,3.7
CN1917900000000,19,179,Wapello County,IA,2016,17997,16936,1061,5.9
CN1918100000000,19,181,Warren County,IA,2016,27010,26134,876,3.2
CN1918300000000,19,183,Washington County,IA,2016,12542,12172,370,3
CN1918500000000,19,185,Wayne County,IA,2016,2849,2739,110,3.9
CN1918700000000,19,187,Webster County,IA,2016,20675,19838,837,4
CN1918900000000,19,189,Winnebago County,IA,2016,5210,5026,184,3.5
CN1919100000000,19,191,Winneshiek County,IA,2016,12095,11660,435,3.6
CN1919300000000,19,193,Woodbury County,IA,2016,56031,54004,2027,3.6
CN1919500000000,19,195,Worth County,IA,2016,4286,4136,150,3.5
CN1919700000000,19,197,Wright County,IA,2016,6745,6465,280,4.2
CN2000100000000,20,1,Allen County,KS,2016,6354,5977,377,5.9
CN2000300000000,20,3,Anderson County,KS,2016,4195,4005,190,4.5
CN2000500000000,20,5,Atchison County,KS,2016,7153,6694,459,6.4
CN2000700000000,20,7,Barber County,KS,2016,2525,2422,103,4.1
CN2000900000000,20,9,Barton County,KS,2016,14037,13373,664,4.7
CN2001100000000,20,11,Bourbon County,KS,2016,7125,6764,361,5.1
CN2001300000000,20,13,Brown County,KS,2016,5168,4969,199,3.9
CN2001500000000,20,15,Butler County,KS,2016,31877,30497,1380,4.3
CN2001700000000,20,17,Chase County,KS,2016,1399,1347,52,3.7
CN2001900000000,20,19,Chautauqua County,KS,2016,1520,1436,84,5.5
CN2002100000000,20,21,Cherokee County,KS,2016,10300,9823,477,4.6
CN2002300000000,20,23,Cheyenne County,KS,2016,1343,1304,39,2.9
CN2002500000000,20,25,Clark County,KS,2016,1125,1092,33,2.9
CN2002700000000,20,27,Clay County,KS,2016,3998,3818,180,4.5
CN2002900000000,20,29,Cloud County,KS,2016,4121,3935,186,4.5
CN2003100000000,20,31,Coffey County,KS,2016,4471,4191,280,6.3
CN2003300000000,20,33,Comanche County,KS,2016,954,922,32,3.4
CN2003500000000,20,35,Cowley County,KS,2016,17024,16244,780,4.6
CN2003700000000,20,37,Crawford County,KS,2016,18958,18017,941,5
CN2003900000000,20,39,Decatur County,KS,2016,1318,1263,55,4.2
CN2004100000000,20,41,Dickinson County,KS,2016,9309,8880,429,4.6
CN2004300000000,20,43,Doniphan County,KS,2016,4280,4105,175,4.1
CN2004500000000,20,45,Douglas County,KS,2016,65556,63205,2351,3.6
CN2004700000000,20,47,Edwards County,KS,2016,1664,1612,52,3.1
CN2004900000000,20,49,Elk County,KS,2016,1212,1148,64,5.3
CN2005100000000,20,51,Ellis County,KS,2016,17130,16586,544,3.2
CN2005300000000,20,53,Ellsworth County,KS,2016,2803,2685,118,4.2
CN2005500000000,20,55,Finney County,KS,2016,20285,19637,648,3.2
CN2005700000000,20,57,Ford County,KS,2016,18043,17450,593,3.3
CN2005900000000,20,59,Franklin County,KS,2016,14231,13616,615,4.3
CN2006100000000,20,61,Geary County,KS,2016,12295,11580,715,5.8
CN2006300000000,20,63,Gove County,KS,2016,1470,1432,38,2.6
CN2006500000000,20,65,Graham County,KS,2016,1207,1147,60,5
CN2006700000000,20,67,Grant County,KS,2016,3797,3654,143,3.8
CN2006900000000,20,69,Gray County,KS,2016,3422,3342,80,2.3
CN2007100000000,20,71,Greeley County,KS,2016,913,892,21,2.3
CN2007300000000,20,73,Greenwood County,KS,2016,3303,3132,171,5.2
CN2007500000000,20,75,Hamilton County,KS,2016,1602,1559,43,2.7
CN2007700000000,20,77,Harper County,KS,2016,2849,2739,110,3.9
CN2007900000000,20,79,Harvey County,KS,2016,17183,16431,752,4.4
CN2008100000000,20,81,Haskell County,KS,2016,2309,2247,62,2.7
CN2008300000000,20,83,Hodgeman County,KS,2016,1030,1000,30,2.9
CN2008500000000,20,85,Jackson County,KS,2016,7229,6970,259,3.6
CN2008700000000,20,87,Jefferson County,KS,2016,10160,9748,412,4.1
CN2008900000000,20,89,Jewell County,KS,2016,1347,1284,63,4.7
CN2009100000000,20,91,Johnson County,KS,2016,325758,314887,10871,3.3
CN2009300000000,20,93,Kearny County,KS,2016,2088,2019,69,3.3
CN2009500000000,20,95,Kingman County,KS,2016,3612,3443,169,4.7
CN2009700000000,20,97,Kiowa County,KS,2016,1455,1413,42,2.9
CN2009900000000,20,99,Labette County,KS,2016,10747,10138,609,5.7
CN2010100000000,20,101,Lane County,KS,2016,826,798,28,3.4
CN2010300000000,20,103,Leavenworth County,KS,2016,35390,33818,1572,4.4
CN2010500000000,20,105,Lincoln County,KS,2016,1746,1680,66,3.8
CN2010700000000,20,107,Linn County,KS,2016,4337,4045,292,6.7
CN2010900000000,20,109,Logan County,KS,2016,1706,1659,47,2.8
CN2011100000000,20,111,Lyon County,KS,2016,16927,16217,710,4.2
CN2011300000000,20,113,McPherson County,KS,2016,16446,15909,537,3.3
CN2011500000000,20,115,Marion County,KS,2016,6050,5792,258,4.3
CN2011700000000,20,117,Marshall County,KS,2016,5599,5420,179,3.2
CN2011900000000,20,119,Meade County,KS,2016,2381,2313,68,2.9
CN2012100000000,20,121,Miami County,KS,2016,16808,16087,721,4.3
CN2012300000000,20,123,Mitchell County,KS,2016,3660,3530,130,3.6
CN2012500000000,20,125,Montgomery County,KS,2016,15884,14866,1018,6.4
CN2012700000000,20,127,Morris County,KS,2016,3099,2973,126,4.1
CN2012900000000,20,129,Morton County,KS,2016,1376,1319,57,4.1
CN2013100000000,20,131,Nemaha County,KS,2016,5931,5765,166,2.8
CN2013300000000,20,133,Neosho County,KS,2016,6108,5648,460,7.5
CN2013500000000,20,135,Ness County,KS,2016,1415,1361,54,3.8
CN2013700000000,20,137,Norton County,KS,2016,2887,2812,75,2.6
CN2013900000000,20,139,Osage County,KS,2016,8005,7635,370,4.6
CN2014100000000,20,141,Osborne County,KS,2016,2078,2002,76,3.7
CN2014300000000,20,143,Ottawa County,KS,2016,3190,3063,127,4
CN2014500000000,20,145,Pawnee County,KS,2016,3203,3088,115,3.6
CN2014700000000,20,147,Phillips County,KS,2016,2876,2783,93,3.2
